No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,20126001,Phan Hanh,An,Male,9/6/2002,4041161922020
2,20126003,Tran Quang,Minh,Female,18/5/2002,4711350802020
3,20126009,Tu Khanh,Duy,Male,26/8/2002,4680769892020
4,20126010,Nguyen Thi My,Duyen,Female,23/4/2002,4008015572020
5,20126012,Tran Ngoc Thu,Giang,Male,14/5/2002,4459919042020
6,20126016,Pham Quang,Huy,Female,9/11/2002,4507914302020
7,20126018,Huynh Gia,Khiem,Male,15/10/2002,4184793622020
8,20126019,Pham Ho Minh,Khue,Female,14/12/2002,4628980192020
9,20126020,Pham Van,Loc,Female,30/1/2002,4191282572020
10,20126021,Le Viet,Luc,Male,26/10/2002,3838573732020
11,20126023,Duong Dinh,Phuc,Male,12/4/2002,4629148422020
12,20126024,Phan Dinh Anh,Quan,Male,30/11/2002,3811474172020
13,20126025,Tran Minh,Quan,Female,29/3/2002,3977195882020
14,20126029,Tran Dao Xuan,Tri,Female,23/9/2002,4163955662020
15,20126030,Tran Tat,Tri,Female,17/10/2002,4164605122020
16,20126031,Ha Thi Thanh,Tu,Female,28/12/2002,4370799172020
17,20126034,Nguyen Van,Chinh,Male,4/4/2002,4522588562020
18,20126036,Pham Thai,Duong,Male,3/8/2002,3866446272020
19,20126037,Nguyen Tran Anh,Duy,Female,4/1/2002,4139517572020
20,20126038,Nguyen Ho Trung,Hieu,Male,20/2/2002,4470493482020
21,20126039,Tran Thien,Khiem,Female,10/6/2002,4048330422020
22,20126040,Le Da,Khoa,Female,16/3/2002,3868729782020
23,20126041,Nguyen Huynh,Man,Male,25/9/2002,4333520552020
24,20126042,Nguyen Thien,Minh,Male,9/6/2002,4275617132020
25,20126044,Nguyen Cuong,Nam,Male,25/9/2002,3747929602020
26,20126045,Vu Hoai,Nam,Female,26/7/2002,4638473002020
27,20126046,Doan Van,Nghi,Female,29/1/2002,4477065682020
28,20126047,Luu Minh,Nhat,Female,29/5/2002,4099917942020
29,20126048,Nguyen Mong Thanh,Nhi,Male,21/6/2002,4220495622020
30,20126049,Nguyen Thanh,Nhon,Female,14/7/2002,4147679482020
31,20126050,Ngo Thi Hoang,Oanh,Male,28/10/2002,3882744082020
32,20126051,Nguyen Quoc,Phat,Female,14/5/2002,3859973262020
33,20126053,Truong Tan,Phong,Female,16/8/2002,4423944212020
34,20126054,Cao Minh,Quang,Male,2/8/2002,3809301932020
35,20126055,Truong Kim,Tan,Female,4/7/2002,4652094832020
36,20126056,Truong Do Truong,Thinh,Female,24/4/2002,4674612102020
37,20126057,Nguyen Tran Minh,Thu,Male,6/12/2002,4229791402020
38,20126058,Pham Ngoc Anh,Thu,Male,16/9/2002,4183818702020
39,20126059,Truong Tran Phuc,Tin,Male,30/6/2002,3744514472020
40,20126061,Nguyen Minh,Triet,Male,12/5/2002,4042943832020
41,20126062,Thieu Vinh,Trung,Male,2/1/2002,4443839022020
42,20126063,Vo Chi,Tuong,Female,7/10/2002,4208885522020
43,20126064,Nguyen Phuc,Uyen,Male,4/10/2002,4374533912020
