No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,Academic year
1,21127299,Tran Hoang Minh,Quang,Male,4/9/2002,4163955332021
2,21127300,Lam,Quen,Female,26/11/2002,4628965502021
3,21127301,Dinh Anh,Quoc,Female,16/3/2002,4280751102021
4,21127302,Nguyen Vu Kien,Quoc,Male,27/10/2002,4637325822021
5,21127303,Tran Quang An,Quoc,Male,21/4/2002,4161696332021
6,21127304,Tran Thao,Quyen,Male,2/2/2002,4296665322021
7,21127305,Nguyen Nhat,Quynh,Male,7/12/2002,4063655902021
8,21127306,Phan Minh,Sang,Male,28/8/2002,4711308452021
9,21127307,Nguyen Le,Son,Male,20/6/2002,4686182812021
10,21127308,Duong,Song,Female,20/7/2002,4337207012021
11,21127309,Nguyen Quoc,Su,Male,14/12/2002,4473394672021
12,21127310,Vo Thanh,Suong,Female,20/10/2002,4437891262021
13,21127311,Nguyen Chi,Tai,Female,16/6/2002,4120075472021
14,21127312,Pham Minh,Tai,Female,27/10/2002,3842110592021
15,21127313,Phan Tri,Tai,Male,6/9/2002,4124752842021
16,21127314,Tran Nguyen Anh,Tai,Male,29/11/2002,3942853602021
17,21127315,Pham Cao Minh,Tam,Female,27/4/2002,4158701482021
18,21127316,Le Duy,Tan,Female,6/5/2002,4325246912021
19,21127317,Tran Nhat,Tan,Female,12/2/2002,4603056862021
20,21127318,Vo Nhat,Tan,Female,22/12/2002,4217902822021
21,21127319,Luong Vu,Thai,Female,30/9/2002,3977963402021
22,21127320,Do Quoc,Thang,Female,27/6/2002,4174082372021
23,21127321,Ngo Huu Nhat,Thanh,Male,19/12/2002,4390059012021
24,21127322,Bui Quang,Thanh,Male,25/6/2002,4700383572021
25,21127323,Trinh Duc,Thien,Male,21/1/2002,4455999232021
26,21127324,Nguyen Duy,Thinh,Female,8/6/2002,4345125052021
27,21127325,Nguyen Phat,Thinh,Male,1/1/2002,4692081672021
28,21127326,Pham Huy Cuong,Thinh,Male,21/10/2002,3794095762021
29,21127327,Pham Nguyen Phuoc,Thinh,Male,22/3/2002,3894238352021
30,21127328,Tran Quang,Thinh,Female,11/4/2002,4133236022021
31,21127329,Truong Gia,Thinh,Male,21/1/2002,3721142972021
32,21127330,Ho Nguyen Minh,Thu,Female,19/2/2002,4696566502021
33,21127331,Pham Ngoc Anh,Thu,Female,7/8/2002,4204283792021
34,21127332,Vo Hien Hai,Thuan,Male,24/11/2002,4012285732021
35,21127333,Nguyen Chi,Thuan,Male,18/8/2002,4681467352021
36,21127334,Nguyen Dinh,Thuan,Male,11/11/2002,3832483152021
37,21127335,Nguyen Minh,Thuan,Male,27/9/2002,4176355992021
38,21127336,Tran Quoc,Thuan,Female,2/9/2002,4326361992021
39,21127337,Phan Thanh,Thuy,Male,12/9/2002,4186297762021
40,21127338,Nguyen Minh,Tien,Female,6/6/2002,4487841282021
41,21127339,Tran Thien,Tien,Female,27/3/2002,3935284352021
42,21127340,Tran Trung,Tin,Male,10/7/2002,4018525992021
43,21127341,Le Chau,Toan,Male,23/7/2002,4420713812021
44,21127342,Pham Xuan,Toan,Female,29/1/2002,4673627242021
45,21127343,Nguyen Ngoc Dieu,Trang,Male,20/8/2002,3865852542021
46,21127344,Pham Hien Doan,Trang,Female,27/1/2002,4540094972021
47,21127345,Nguyen Vo Minh,Tri,Female,28/4/2002,3817616532021
48,21127346,Nguyen Thi Hao,Trinh,Female,24/9/2002,4476122872021
49,21127347,La Minh,Trung,Female,2/6/2002,3866241032021
50,21127348,Le Quoc,Trung,Male,31/1/2002,3924777362021
